Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Priority,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Description,Watchers,Watchers Id,Epic Link Summary,Custom field (Epic Name),Parent,Parent summary,Status Category
Create Rating Logic,CS-74,10091,New Feature,In Review,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 12:43 PM,12/Sep/23 5:37 PM,12/Sep/23 6:36 PM,,Create a backend for rating functionality,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Rating Functionality,,10088,Rating Functionality,In Progress
Add Ratings Table to the Database,CS-73,10090,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 12:39 PM,12/Sep/23 6:31 PM,12/Sep/23 6:31 PM,12/Sep/23 12:40 PM,Create a database table for storing ratings of every product for every user.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Rating Functionality,,10088,Rating Functionality,Done
Add Rating Elements,CS-72,10089,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 12:37 PM,12/Sep/23 12:38 PM,12/Sep/23 5:37 PM,12/Sep/23 12:38 PM,Add 'Reset Rating' button and five stars for product detail subpage,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Rating Functionality,,10088,Rating Functionality,Done
Rating Functionality,CS-71,10088,Epic,To Do,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 12:31 PM,12/Sep/23 1:43 PM,14/Sep/23 11:09 PM,,Create a functionality that allows user to rate products,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,,Review Functionality,,,To Do
Gradually Appearing Text,CS-70,10087,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,27/Jun/23 4:56 PM,27/Jun/23 4:59 PM,12/Sep/23 12:29 PM,27/Jun/23 4:57 PM,"As the main page loads, the text should gradually begin to appear.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Main Page and Navigation Bar Creation,,10020,Main Page and Navigation Bar Creation,Done
Window with Enlarged Part of an Image,CS-69,10086,Bug,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,27/Jun/23 4:50 PM,27/Jun/23 4:53 PM,27/Jun/23 4:50 PM,,"*Description:* Window that shows enlarged part of an image does not work properly.

*Steps to Reproduce:*

# Go to the cloth subpage 
# Click on any product to go to product subpage
# Wait for page to load.

*Expected Result*: Window that shows enlarged part of an image is disabled

*Actual Result:* Window that shows enlarged part of an image is already visible even thought user did not hover over image",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,In Progress
Zoom In Functionality Test,CS-68,10085,Test case,FAILED,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,27/Jun/23 4:45 PM,27/Jun/23 4:49 PM,27/Jun/23 4:48 PM,,"*Test objective:* To verify that the Zoom in functionality works as intended

*Test steps:*

# Load the product subpage.
# Click on a product
# Wait for the Product Subpage to load completely.
# Hover over image.

*Expected result:* Part of an image user is hovering over should be enlarged and in separate window.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,In Progress
Zoom In Feature,CS-67,10084,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,27/Jun/23 4:43 PM,27/Jun/23 4:45 PM,27/Jun/23 4:43 PM,27/Jun/23 4:43 PM,Add functionality that shows enlarged part of an image that user is hovering over,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,Done
Verification Code Pop-up Appears,CS-66,10083,Test case,TC - AWAITING REVIEW,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,19/Jun/23 7:47 PM,12/Sep/23 12:52 PM,12/Sep/23 1:11 PM,,"*Test objective:* To verify if a pop-up for verification code appears

*Test steps:*

# Launch the website
# Make sure that you are not logged in
# Click on the ""Create Account"" link on the navigation bar.
# Enter valid information into all required fields on the account creation form.
# Submit the form by clicking the ""Create account"" button with a link.
# Verify that the user is redirected to the verification page.

*Expected result:*

* The pop-up for verification code should appear",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,E-mail Verification,,10075,E-mail Verification,In Progress
Create Email Send Logic,CS-65,10082,New Feature,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,19/Jun/23 7:42 PM,27/Jun/23 4:54 PM,12/Sep/23 12:40 PM,,"When user tries to create account, and clicks Submit button on create_account page with valid information, email with verificaiton code should be sent on his email adress.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,E-mail Verification,,10075,E-mail Verification,In Progress
Create Autocomplete Dropdown List for Country Input Field,CS-64,10081,New Feature,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,19/Jun/23 4:10 PM,27/Jun/23 4:53 PM,12/Sep/23 12:41 PM,,"Implement an autocomplete dropdown list for the country input field, allowing users to easily select their desired country from a list of suggestions. The dropdown list should appear when the user focuses on the input field and dynamically update as they type.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Order Functionality,,10078,Order Functionality,In Progress
Create a Checkout Page,CS-63,10080,New Feature,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,19/Jun/23 4:04 PM,19/Jun/23 4:05 PM,19/Jun/23 4:07 PM,,"Create a checkout page where user will choose delivery option and provide necessary information (Name, Surname, Country, Phone, Email)",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Order Functionality,,10078,Order Functionality,In Progress
Add 'Order' Button to Basket Page,CS-62,10079,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,19/Jun/23 3:59 PM,19/Jun/23 4:06 PM,12/Sep/23 12:35 PM,19/Jun/23 4:06 PM,Create an 'Order' button in the top right basket page. It will move user to checkout page. ,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Order Functionality,,10078,Order Functionality,Done
Order Functionality,CS-61,10078,Epic,To Do,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,19/Jun/23 2:01 PM,19/Jun/23 4:10 PM,12/Sep/23 12:30 PM,,Create a functionality that allows user can order products,,,,Checkout Page,,,To Do
Missing Link to Detail Subpage,CS-60,10077,Bug,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/Jun/23 12:10 PM,07/Jun/23 12:21 PM,19/Jul/23 6:56 PM,07/Jun/23 12:21 PM,"*Description:* Link to product detail subpage on cloth subpage dissapears after user click filter button.

*Steps to Reproduce:*

# Go to the cloth subpage 
# Click on filter button

*Expected Result*: User is able to click on link to got to product detail subpage

*Actual Result:* Link does not work",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,Done
Create Pop-up that asks user to provide a verification code.,CS-59,10076,New Feature,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,31/May/23 6:26 PM,27/Jun/23 4:54 PM,27/Jun/23 4:54 PM,,Create a pop-up that appears when new user tries to create account and clicks 'Submit' button. It should include an infromation that code has been send on e-mail and an input for a code as well as button “Confirm“.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,E-mail Verification,,10075,E-mail Verification,In Progress
E-mail Verification,CS-58,10075,Epic,To Do,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,31/May/23 6:24 PM,19/Jun/23 7:47 PM,14/Sep/23 5:41 PM,,"Create email verification feature, when user created account.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,,E-mail Verification,,,To Do
"Price disappears after clicking ""Filter"" button",CS-57,10074,Bug,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,26/May/23 2:18 PM,26/May/23 2:23 PM,14/Sep/23 11:10 PM,26/May/23 2:18 PM,"*Description:* Every price under product on Product Subpage changes to “undefined” after user click “Filter“ button

*Steps to Reproduce:*

# Go to the cloth subpage 
# Click on “Filter“ button (filters do not have to be selected)

*Expected Result*: Upon clicking the “Filter“ button, proper products should appear with image, name, price and basket icon.

*Actual Result:* After clicking the “Filter“ button, products appear but without price. Instead of price message “undefined“ appears",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Catalog,,10029,Product Catalog,Done
Unable to Go to Cloth Subpage from Product Subpage,CS-56,10073,Bug,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,24/May/23 12:49 AM,31/May/23 5:49 PM,27/Jun/23 4:50 PM,31/May/23 5:49 PM,"*Description:* The navigation bar on product subpage not working properly

*Steps to Reproduce:*

# Go to the cloth subpage 
# Click on any product to go to product subpage
# On navigation bar click to go to cloth subpage

*Expected Result*: User is redirected to cloth subpage

*Actual Result:* “Not Found“ message appears",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,Done
Increase Number of Products in Basket Feature Does not Properly,CS-55,10072,Bug,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,14/May/23 2:36 PM,14/May/23 2:46 PM,14/Sep/23 11:10 PM,,"*Description:* The Increase Number of Products in Basket feature on the website is not working as expected, after reloading page.

*Steps to Reproduce:*

# Go to the cloth subpage and add any product.
# Navigate to basket.
# Click to increase number of products.
# Reload page.

*Expected Result*: The number of products in the basket should increase. The updated number should be reflected accurately on the basket subpage.

*Actual Result:* After reloading a page number of products is set to 1.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,In Progress
Increase Number of Products in Basket Test,CS-54,10071,Test case,FAILED,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,14/May/23 2:31 PM,14/May/23 2:37 PM,14/Sep/23 11:10 PM,,"*Test Objective:* To verify that the number of products in the basket increases correctly when products are added.

*Test Steps:*

# Navigate to the product catalog subpage.
# Add a product to the basket.
# Navigate to the basket subpage.
# Increase number of product previously added
# Refresh the page
# Verify the updated number of products in the basket.

*Expected Result:* The number of products in the basket should increase. The updated number should be reflected accurately on the basket subpage.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,In Progress
Increase Number of Products on Basket Subpage,CS-53,10070,New Feature,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,14/May/23 2:25 PM,27/Jun/23 4:54 PM,27/Jun/23 4:54 PM,,,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,In Progress
Remove from Basket Feature not Functioning Properly,CS-52,10069,Bug,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,14/May/23 2:20 PM,18/May/23 4:28 PM,27/Jun/23 4:55 PM,,"*Description:* The Remove from Basket feature on the website is not working as expected. When the user clicks on the trash icon to remove a product, nothing happens. The product only disappears from the basket after the page is reloaded.

*Steps to Reproduce:*

# Go to the cloth subpage and add any product.
# Navigate to basket.
# Click on the trash icon to remove a product.

*Expected Result*: Upon clicking the trash icon, the selected product should be immediately removed from the basket without requiring a page reload.

*Actual Result:* After clicking the trash icon, the product does not get removed instantly. The product only disappears from the basket after the page is reloaded.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,In Progress
User Invalid Password Login Test,CS-51,10068,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,14/May/23 2:17 PM,14/May/23 2:18 PM,14/Sep/23 11:10 PM,,"*Test objective:* To verify that a registered user can successfully login to the website 

*Test steps:*

# Navigate to the login page
# Enter valid username and invalid password
# Click on the login button 

*Expected result:* The “Wrong Password“ message should appear.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Authentication,,10024,User Authentication,Done
User Invalid Username Login Test,CS-50,10067,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,14/May/23 2:15 PM,14/May/23 2:17 PM,14/Sep/23 11:10 PM,,"*Test objective:* To verify that a registered user can successfully login to the website 

*Test steps:*

# Navigate to the login page
# Enter invalid username
# Click on the login button 

*Expected result:* The “Wrong Username“ message should appear.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Authentication,,10024,User Authentication,Done
Adding Product to Basket from Product Subpage Test,CS-49,10066,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,09/May/23 3:00 PM,31/May/23 5:50 PM,19/Jun/23 7:48 PM,,"T*est objective:* To verify that the user is able to add a product from a poduct subpage to the basket successfully.

*Test steps:*

# Load the product subpage.
# Click on a product
# Click on the ""Add to Basket"" button.
# Navigate to the basket subpage. 

*Expected result:* The product should be added to the basket and the basket subpage should reflect the added product. ",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,Done
